"abb","plain"
"yea","yeah"
"okay","ok"
"hahaha","haha"
"ah","ah"
"yep","yeah"
"huh","huh"
"ahhh","ah"
"ahh","ah"
"hmm","hmm"
"aww","aww"
"um","umm"
"hmmm","hmm"
"goodmorning","good morning"
"dam","damn"
"ahhhh","ah"
"goodnight","good night"
"naw","now"
"ummm","umm"
"dear","dear"
"aye","aye"
"ughh","ugh"
"brrrr","brrr"
"jk","just kidding"
"duh","duh"
"oooh","ooh"
"hoo","hoo"
"woah","woah"
"bummer","bummer"
"c'mon","come on"
"dammit","dammit"
"mmmm","mmm"
"grrr","grrr"
"hahah","haha"
"brr","brrr"
"brrrrr","brrrr"
"hm","hmm"
"ughhh","ugh"
"hahahaha","haha"
"btw","by the way"
"ohhh","ooh"
"hmmmm","hmmm"
"yesss","yes"
"yess","yes"
"omfg","omfg"
"ay","ay"
"gah","gah"
"grr","grr"
"ahhhhh","ah"
"lmaoo","lmao"
"grrrr","grr"
"oops","oops"
"word","word"
"ctfu","ctfu"
"yeahh","yeahh"
"mmmmm","mmm"
"ummmm","umm"
"ahaha","hahaha"
"noooo","noo"
"hahahahaha","hahaha"
"damnit","dammit"
"haa","haa"
"yessss","yes"
"uhh","uh"
"forreal","for real"
"cmon","come on"
"uhhh","uhh"
"ohhhh","ooh"
"yeaa","yeah"
"ughhhh","ugh"
"lolz","lol"
"awwww","aw"
"meh","meh"
"yayy","yay"
"wooo","woo"
"ewww","ew"
"nooo","noo"
"lolol","lol"
"boooo","boo"
"grrrrr","grr"
"g'morning","good morning"
"hahahah","hahaha"
"mannn","man"
"brrrrrr","brr"
"hehehe","hehehe"
"yah","yeah"
"nahh","nah"
"yeh","yeah"
"hmmmmm","hmm"
"grrrrrr","grr"
"errr","err"
"yaaaay","yay"
"yessir","yes sir"
"lmfaooo","lmfao"
"lmaooo","lmao"
"yayyy","yay"
"brrrrrrrr","brr"
"yaay","yay"
"wahh","wah"
"yey","yay"
"yaaay","yay"
"burrr","burr"
"uhg","uhg"
"loll","lol"
"burrrrr","burr"
"lololol","lol"
"foreal","for real"
"ewwww","eww"
"ugghh","ugh"
"okie","ok"
"ahhhhhhh","ah"
"#goodmorning","good morning"
"ooooh","ooh"
"cool","cool"
"ughhhhh","ugh"
"woooo","woo"
"hellooooo","hello"
"ohhhhh","ohh"
"lmaoooo","lmao"
"maaaan","man"
"naww","now"
"aaah","aah"
"whyyyy","why"
"c'mon!","come on!"
"#goodnight","good night"
"ahahaha","hahaha"
"hahahha","hahaha"
"bam","bam"
"uh-oh","uh-oh"
"lmmfao","lmfao"
"shhhh","shh"
"shhh","shh"
"hum","hum"
"omggg","omg"
"damnn","damn"
"awwwww","aww"
"yooooo","yo"
"hellooo","hello"
"aahh","ah"
"helloooo","hello"
"whyyy","why"
"damm","damn"
"lool","lol"
"ahah","haha"
"hahha","haha"
"burrrr","burr"
"yesssss","yes"
"blahh","blah"
"fareal","for real"
"blahhh","blah"
"sorta","sort of"
"wohoo","wohoo"
"yooo","yo"
"g'night","good night"
"yeaaa","yeah"
