"abb","plain"
"&","and"
"n","and"
"+","plus"
"nd","and"
"&&","and"
"bt","but"
"and/or","and or"
"(&","and"
"den","then"
"an","and"
"buh","but"
"buuut","but"
"&/or","and or"
"&'","and"
"aaaand","and"
"abd","and"
"andd","and"
"-and-","and"
"buttt","but"
"annnnnd","and"
"annnd","and"
"wreckx-n-effect-","wreckx and effect"
"buuuuut","but"
"aaaaand","and"
"n-words","and words"
"a-and","and"
"annnnnnnd","and"
"-n-soda","and soda"
"2bad","too bad"
"//but","but"
"pluss","plus"
"aaaaaand","and"
"-and","and"
"buuttt","but"
"but-if","but if"
"-&-","and"
"in-","in"
"aaannnnnnd","and"
"butttt","but"
"&&&","and"
"buuuut","but"
"annnnnnnnd","and"
"annnnnnd","and"
"altough","although"
"aaaaaaaand","and"
"aaand","and"
