"abb","plain"
"lil","little"
"freezin","freezing"
"fuckin","fucking"
"#cold","cold"
"freakin","freaking"
"hott","hot"
"gr8","great"
"fav","favourite"
"gud","good"
"sucky","sucky"
"#windy","windy"
"#severe","severe"
"#hot","hot"
"#rainy","rainy"
"friggin","frigging"
"gd","good"
"lovin","loving"
"cloudy|vis","cloudy vis"
"wierd","wierd"
"goood","good"
"#chilly","chilly"
"brewin","brewing"
"nxt","next"
"#new","new"
"sunny/wind","sunny wind"
"sunburnt","sun burnt"
"gooood","good"
"#sunny","sunny"
"frickin","fricking"
"#perfect","perfect"
"kool","cool"
"fucken","fucking"
"ugg","ugly"
"flippin","flipping"
"goooood","good"
"ridic","ridiculous"
"crazyy","crazy"
"stoopid","stupid"
"niceee","nice"
"awsome","awesome"
"b-e-a-utiful","beautiful"
"#beautiful","beautiful"
"tru","true"
"hvy","heavy"
"curent","current"
"clear|vis","clear vis"
"cloudy/rainy","cloudy rainy"
"great","great"
"effin","fucking"
"sweeeet","sweet"
"wintery","wintry"
"loooong","long"
"#nice","nice"
"crapy","crappy"
"mid/upper","mid upper"
"cold/rainy","cold rainy"
"sunshiney","sunshiney"
"hottt","hot"
"cloudy/wind","cloudy wind"
"niceeee","nice"
"#lazy","lazy"
"badd","bad"
"beauitful","beautiful"
"hottttt","hot"
"str8","straight"
"#grand","grand"
"nicee","nice"
"bangin","banging"
"sleepin","sleeping"
"fricken","frickin"
"wether","weather"
"rockin","rocking"
"beautifull","beautiful"
"#good","good"
"golfball","golf ball"
"madd","mad"
"muthafuckin","mother fucking"
"pissy","pissy"
"looong","long"
"foward","forward"
"strong/severe","strong severe"
"fuckn","fucking"
"w/more","with more"
"goooooood","good"
"betta","better"
"gooooood","good"
"rainy/cloudy","rainy cloudy"
"damm","damn"
"fckin","fucking"
"rainy/cold","rainy cold"
"otha","other"
"amazin","amazing"
"fukin","fucking"
"rainy/gloomy","rainy gloomy"
"krazy","crazy"
"gald","glad"
"rediculous","ridiculous"
"greattt","great"
"brewin'!","brewing !"
"fkn","fucking"
"werid","weird"
"#humid","humid"
"coldddd","cold"
"hot/cold","hot cold"
"warmm","warm"
"#sunburnt","sun burnt"
"bipolor","bipolar"
"kold","cold"
"rainin","raining"
"f-ing","fucking"
"depressin","depressing"
"cloudy/windy","cloudy windy"
"niiiice","nice"
"rdy","ready"
"on/off","on off"
"loooooong","long"
"nutz","nuts"
"maddd","mad"
"emo","emo"
"#real","real"
"suprised","surprised"
"gotdamn","goddamn"
"cooooool","cool"
"colddd","cold"
"warm/hot","warm hot"
"pooring","pouring"
"whacky","wacky"
"borin","boring"
"suposed","supposed"
"coldd","cold"
"awesomesauce","awesome sauce"
"#snowy","snowy"
"poppin","popping"
"frikkin","frikking"
"freeeeezing","freezing"
"fukn","fucking"
"#awesome","awesome"
"lightskin","light skin"
"#warm","warm"
"rainy/snowy","rainy snowy"
"stinkin","stinking"
"greaaaat","great"
"#gorgeous","gorgeous"
"#gloomy","gloomy"
"beachy","beachy"
"dumbbbb","dumb"
"sleepn","sleeping"
"betttter","better"
"happpy","happy"
"freakinn","freaking"
"frezzing","freezing"
"#depressed","depressed"
"clear/wind","clear wind"
"fyne","fine"
"sh*tty","shitty"
"hot&sunny","hot and sunny"
"shittty","shitty"
"greatt","great"
"amazinggg","amazing"
"fricking","freacking"
"warm/humid","warm humid"
"beautifulll","beautiful"
"darkskin","dark skin"
"servere","severe"
"#wonderful","wonderful"
"sunny/windy","sunny windy"
"grear","great"
"bette","better"
"kute","cute"
"rainy/stormy","rainy stormy"
