"abb","plain"
"@breakingnews","breaking news"
"@weatherchannel","weather channel"
"@livewxradar","live weather radar"
"@severewarn","severe warn"
"@cnnbrk","cnn break"
"@wxbrad","weather brad"
"@katv_weather","katv weather"
"@nprnews","npr news"
"@nbcnews","nbc news"
"@cnn","cnn"
"@capitalweather","capital weather"
"@stormchaser4850","strom chaser 4850"
"@cbsnews","cbs news"
"@itsthingsinlife","it is things in life"
"@birmingham_news","birmingham news"
"@cnnlive","cnn live"
"@memphisweather1","memphis weather"
