"abb","plain"
"kinda","kind of"
"tho","though"
"sooo","so"
"jus","just"
"soo","so"
"y","why"
"soooo","so"
"bout","about"
"hella","hella"
"wen","when"
"fuckin","fucking"
"def","definitely"
"sooooo","so"
"hwo","how"
"freakin","freaking"
"everytime","every time"
"effin","fucking"
"atleast","at least"
"2nite","tonight"
"soooooo","so"
"abt","about"
"tooo","too"
"pleasantweather","pleasant weather"
"prob","probably"
"jst","just"
"toooo","too"
"effing","fucking"
"juss","just"
"sooooooo","so"
"fckn","fucking"
"bak","back"
"fucken","fucking"
"den","then"
"definately","definitely"
"bck","back"
"2night","tonight"
"neva","never"
"friggin","frigging"
"soooooooo","so"
"sorta","sort of"
"finna","goint to"
"here-","here"
"betta","better"
"bac","back"
"2morrow","tomorrow"
"mayb","maybe"
"fuckn","fucking"
"lil","little"
"bk","back"
"dwn","down"
"tooooo","too"
"srsly","seriously"
"deff","definitely"
"lik","like"
"frickin","fricking"
"aswell","as well"
"flippin","flipping"
"sumtimes","sometimes"
"fukn","fucking"
"reaalll","real"
"probly","probably"
"nvr","never"
"ssooo","so"
"now-","now"
"alittle","a little"
"tonight-","tonight"
"thru","through"
"rly","really"
"tooooooo","too"
"hereeee","here"
"gettn","getting"
"fckin","fucking"
"evn","even"
"eva","ever"
"alil","a little"
"realllly","really"
"2mrw","tomorrow"
"forreal","for real"
"sooooooooooo","so"
"2day","today"
"realy","really"
"today/tonight","today tonight"
"noww","now"
