"abb","plain"
"dwn","down"
"outtt","out"
"uppp","up"
"outt","out"
"ova","over"
"upp","up"
"out/","out"
"in-between","in between"
"uo","uo"
"ouuuuttt","out"
"out;i'm","out i am"
"uppppp","up"
"innn","in"
"onnnn","on"
"up-","up"
"outside--it's","outside it is"
"out/thank","out thank"
"uppppppppp","up"
"off:')","off :')"
"ovr","over"
"outsideee","outside"
"upo","upon"
"up&all","up and all"
"offffff","off"
"up/dries","up dries"
"upppp","up"
"owt","out"
"down-","down"
"out)","out"
"outside-","outside"
"out-","out"
