"abb","plain"
"dont","do not"
"goin","going"
"gettin","getting"
"lovin","loving"
"gon","gone"
"chillin","chilling"
"tryna","try to"
"kno","know"
"lookin","looking"
"dnt","do not"
"comin","coming"
"doin","doing"
"didnt","did not"
"feelin","feeling"
"fuckin","fucking"
"finna","going to"
"#freezing","freezing"
"enjoyin","enjoying"
"pls","please"
"talkin","talking"
"luv","love"
"isnt","is not"
"isn't","is not"
"plz","please"
"gunna","going to"
"sittin","sitting"
"watchin","watching"
"wasnt","was not"
"doesnt","does not"
"walkin","walking"
"makin","making"
"sayin","saying"
"havin","having"
"rockin","rocking"
"rainin","raining"
"playin","playing"
"bein","being"
"cnt","can not"
"thinkin","thinking"
"tryin","trying"
"wearin","wearing"
"workin","working"
"couldnt","could not"
"should've","should have"
"diggin","digging"
"killin","killing"
"wana","want to"
"knw","know"
"iz","is"
"#winning","winning"
"shoulda","should to"
"hittin","hitting"
"trippin","tripping"
"wouldnt","would not"
"wouldn't","would not"
"takin","taking"
"needa","need to"
"waitin","waiting"
"retweet","rt"
"hav","have"
"runnin","running"
"gona","going to"
"freezin","freezing"
"stayin","staying"
"poppin","popping"
"kickin","kicking"
"havent","have not"
"startin","starting"
"headin","heading"
"blowin","blowing"
"shouldnt","should not"
"layin","laying"
"drinkin","drinking"
"wud","would"
"woulda","would to"
"rollin","rolling"
"chillen","chilling"
"wld","would"
"gna","going to"
"sweatin","sweating"
"tweetin","tweeting"
"ridin","riding"
"hopin","hoping"
"freakin","freaking"
"luvin","loving"
"coolin","cooling"
"shoutout","shout out"
"hv","have"
"sippin","sipping"
"missin","missing"
"smokin","smoking"
"drivin","driving"
"hoopin","hooping"
"#win","win"
"callin","calling"
"jammin","jamming"
"gne","gone"
"arent","are not"
"wnt","want"
"movin","moving"
"str8","straight"
"tellin","telling"
"#rain","rain"
"gota","got to"
"keepin","keeping"
"gettn","getting"
"#blessed","blessed"
"listenin","listening"
"actin","acting"
"shld","should"
"wishin","wishing"
"a-brewin","a brewing"
"sleepin","sleeping"
"likin","liking"
"fina","going to"
"leavin","leaving"
"messin","messing"
"sux","sucks"
"trynna","try to"
"#pray","pray"
"shud","should"
"ballin","balling"
"complainin","complaining"
"loooove","love"
"lyin","lying"
"bitchin","bitching"
"livin","living"
"fuk","fuck"
"don't!","do not !"
"lovee","love"
"pissin","pissing"
"cookin","cooking"
"breakin","breaking"
"pickin","picking"
"soakin","soaking"
"singin","singing"
"goooo","go"
"bumpin","bumping"
"hangin","hanging"
"wil","will"
"#running","running"
"cuttin","cutting"
"blazin","blazing"
"standin","standing"
"#shoutout","shout out"
"cruisin","cruising"
"chasin","chasing"
"#praying","praying"
"seein","seeing"
"fck","fuck"
"snowin","snowing"
"loveee","love"
"lookn","looking"
"getn","getting"
"enjoyn","enjoying"
"gnna","going to"
"checkin","checking"
"atleast","at least"
"puttin","putting"
"cryin","crying"
"looove","love"
"iss","is"
"doo","do"
"blastin","blasting"
"flyin","flying"
"changin","changing"
"#sweating","sweating"
"hasnt","has not"
"guna","going to"
"txt","text"
"jumpin","jumping"
"tryn","trying"
"comming","coming"
"ws","was"
"drawlin","drawling"
"coulda","could to"
"hve","have"
"fckin","fucking"
"playn","playing"
"fuckkk","fuck"
"bringin","bringing"
"c'mon","come on"
"looooove","love"
"treatin","treating"
"drippin","dripping"
"#melting","melting"
"wakin","waking"
"rainning","raining"
"thunderstorming","thunder storming"
"crackin","cracking"
"brewin","brewing"
"eatin","eating"
"chilln","chilling"
"#love","love"
"shakin","shaking"
"iont","i do not"
"relaxin","relaxing"
"feeln","feeling"
"fixin","fixing"
"anit","aint"
"ain't","aint"
"commin","coming"
"tearin","tearing"
"burnin","burning"
"bangin","banging"
"hatin","hating"
"catchin","catching"
"groovin","grooving"
"abt","about"
"fallin","falling"
"readin","reading"
"talkn","talking"
"cld","could"
"shootin","shooting"
"shinin","shining"
"cuddlin","cuddling"
"couldve","could have"
"loove","love"
"#donate","donate"
"layed","laid"
"#spring","spring"
"buggin","bugging"
"turnin","turning"
"wass","was"
"lettin","letting"
"wonderin","wondering"
"fuckkkk","fuck"
"brin","bring"
"throwin","throwing"
"headn","heading"
"pourin","pouring"
"quess","guess"
"geting","getting"
"njoy","enjoy"
"endin","ending"
"knowww","know"
"knockin","knocking"
"likee","like"
"frickin","freacking"
"choppin","chopping"
"creepin","creeping"
"loveeee","love"
"becareful","be careful"
"hurtin","hurting"
"suckssss","sucks"
"fucc","fuck"
"stormin","storming"
"thnk","thank"
"bbq'n","bbqing"
"loven","loving"
"knowin","knowing"
"shouldve","should have"
"bouta","about to"
"steppin","stepping"
"wouldve","would have"
"#hate","hate"
"#losing","losing"
"#confused","confused"
"wantin","wanting"
