"abb","plain"
"#weather","weather"
"#fb","fb"
"#arwx","arkansas weather"
"#sunshine","sunshine"
"#news","news"
"#txwx","texas weather"
"#cold","cold"
"#okwx","oklahoma weather"
"#childhoodmemories","childhood memories"
"#ncwx","nc weather"
"#rain","rain"
"#alwx","alabama weather"
"#thunderstorm","thunderstorm"
"#wx","weather"
"#cltwx","clt weather"
"#storm","storm"
"#wtf","what the fuck"
"#summer","summer"
"#sdwx","sd weather"
"#nmwx","nm weather"
"#winning","winning"
"#mswx","ms weather"
"#photography","photography"
"#thunderup","thunderup"
"#smh","smh"
"#tornado","tornado"
"#mowx","mo weather"
"#thunderstorms","thunderstorms"
"#hrweather","hr weather"
"#fml","fml"
"#freezing","freezing"
"#fail","fail"
"#severe","severe"
"#nasatweetup","nasa tweetup"
"#ksstorms","ks storms"
"#kswx","ks weather"
"#inwx","in weather"
"#heatwave","heat wave"
"#vawx","va weather"
"#blonoweather","blono weather"
"#sunny","sunny"
"#stl","stl"
"#snow","snow"
"#gawx","ga weather"
"#photo","photo"
"#hot","hot"
"#travel","travel"
"#nmfire","nm fire"
"#50thingsihate","50 things i hate"
"#spring","spring"
"#wmiwx","wmi  weather"
"#iawx","ia  weather"
"#onlywhitepeople","only white people"
"#tnwx","tn weather"
"#summertime","summer time"
"#babes","babes"
"#bikini","bikini"
"#moodkiller","mood killer"
"#tristatewx","tristate weather"
"#lifeisgood","life is good"
"#kywx","ky weather"
"#damn","damn"
"#alliwantis","all i want is"
"#nature","nature"
"#loveit","love it"
"#cltnews","clt news"
"#sotellmewhy","so tell me why"
"#winter","winter"
"#wvwx","wv weather"
"#ugh","ugh"
"#wiwx","wi weather"
"#rainraingoaway","rain go away"
"#mnwx","mn weather"
"#rt","rt"
"#dontgetmestarted","do not get me started"
"#justsayin","just saying"
"#ohwx","oh weather"
"#perfect","perfect"
"#happyeaster","happy easter"
"#justsaying","just saying"
"#hail","hail"
"#notcool","not cool"
"#happy","happy"
"#storms","storms"
"#photos","photos"
"#goodtimes","good times"
"#cowx","co weather"
"#finally","finally"
"#backchannel","back channel"
"#flwx","fl weather"
"#awesome","awesome"
"#ilwx","il weather"
"#thatisall","that is all"
"#lame","lame"
"#cnn","cnn"
"#mothernature","mother nature"
"#coweather","co weather"
"#green","green"
"#climatechange","climate change"
"#beautiful","beautiful"
"#flood","flood"
"#azwx","az weather"
"#notwinning","not winning"
"#crazy","crazy"
"#kcstorms","kc storms"
"#brrr","brrr"
"#breakingnews","breaking news"
"#jealous","jealous"
"#climate","climate"
"#stlwx","stl weather"
"#ihatemondays","i hate mondays"
"#love","love"
"#incollege","in college"
"#pawx","pa weather"
"#pissed","pissed"
"#naptime","nap time"
"#thankyou","thank you"
"#truth","truth"
"#beautifulday","beautiful day"
"#endoftheworld","end of the world"
"#science","science"
"#sun","sun"
"#swag","swag"
"#amen","amen"
"#wncwx","wnc weather"
"#globalwarming","global warming"
"#running","running"
"#sucks","sucks"
"#scared","scared"
"#wow","wow"
"#scwx","sc weather"
"#bliss","bliss"
"#climategate","climate gate"
"#bored","bored"
"#depressing","depressing"
"#socold","so cold"
"#jobs","jobs"
"#nice","nice"
"#iamsotiredof","i am so tired of"
"#tornadoes","tornados"
"#thankful","thankful"
"#lawx","la weather"
"#not","not"
"#fingerscrossed","fingers crossed"
"#ski","ski"
"#sigh","sigh"
"#homeimprovement","home improvement"
"#overit","over it"
"#fuckit","fuck it"
"#gr","gr"
"#kelowx","kelo weather"
"#food","food"
"#yay","yay"
"#home","home"
"#bipolar","bipolar"
"#aprilshowers","april showers"
"#pow","pow"
"#ctweather","ct weather"
"#ilovesummer","i love summer"
"#makesmesmile","makes me smile"
"#wxreport","weather report"
"#happymothersday","happy mothers day"
"#clouds","clouds"
"#lightning","lightning"
"#birds","birds"
"#lazy","lazy"
"#chill","chill"
"#wishfulthinking","wishful thinking"
"#iftheworldendsonsaturday","if the world ends on saturday"
"#30daysofbiking","30 days of biking"
"#randomthought","random thought"
"#happiness","happiness"
"#relaxing","relaxing"
"#tragic","tragic"
"#tropicalweather","tropical weather"
"#weird","weird"
"#word","word"
"#bullshit","bullshit"
"#thunder","thunder"
"#thankgod","thank god"
"#cantwait","can not wait"
"#fuck","fuck"
"#tired","tired"
"#letsgoheat","let us go heat"
"#firstworldproblems","first world problems"
"#lol","lol"
"#sohappy","so happy"
"#sick","sick"
"#itsmay","it is may"
"#norain","no rain"
"#perfectweather","perfect weather"
"#health","health"
"#tornadohunt","tornado hunt"
"#lovingit","loving it"
"#skiing","skiing"
"#rainy","rainy"
"#vacation","vacation"
"#trees","trees"
"#monsoon","monsoon"
"#mtwx","mt weather"
"#holiday","holiday"
"#gross","gross"
"#mothersday","mothers day"
"#omg","omg"
"#teenagememories","teenage memories"
"#sadface","sad face"
"#shewantsthedick","she wants the dick"
"#please","please"
"#lovinglife","lovingvlife"
"#smdh","smdh"
"#stlweather","stl weather"
"#tropicalupdate","tropical update"
"#mdwx","md weather"
"#michiganweather","michigan weather"
"#flight","flight"
"#goodday","good day"
"#free","free"
"#icant","i can not"
"#blackpeoplelaws","black people laws"
"#ihate","i hate"
"#iwantsummer","i want summer"
"#getittogether","get it together"
"#sad","sad"
"#perfectday","perfect day"
"#stoked","stoked"
"#turnoff","turn off"
"#daywx","day weather"
"#disaster","disaster"
"#summer2011","summer 2011"
"#stupidweather","stupid weather"
"#stormmode","storm mode"
"#toohot","too hot"
"#dead","dead"
"#gofigure","go figure"
"#texasweather","texas weather"
"#nasa","nasa"
"#dontjudgeme","do not judge me"
"#summertimefinewednesday","summer time fine wednesday"
"#lovelife","love life"
"#notfair","not fair"
"#makeupyourmind","make up your mind"
"#yes","yes"
"#itshardwhen","it is hard when"
"#imagine","imagine"
"#fitness","fitness"
"#bestdayever","best day ever"
"#bdfnews","bdf news"
"#hiwx","hi weather"
"#breaking","breaking"
"#giveaway","give away"
"#wine","wine"
"#ridiculous","ridiculous"
"#dcweather","dc weather"
"#inhighschool","in high school"
"#epic","epic"
"#flooding","flooding"
"#mylife","mylife"
"#iloveit","i love it"
"#corn","corn"
"#natural","natural"
"#weekend","weekend"
"#baseball","baseball"
"#bipolarweather","bipolar weather"
"#coffee","coffee"
"#ice","ice"
"#sundayfunday","sunday fun day"
"#confused","confused"
"#truestory","true story"
"#collegerules","college rules"
"#idweather","id weather"
"#vabeach","va beach"
"#sweaty","sweaty"
"#bbq","barbeque"
"#wasnow","was now"
"#stopraining","stop raining"
"#wet","wet"
"#hope","hope"
"#yallneedtobreakup","you all need to break up"
"#bouttime","about time"
"#forreal","for real"
"#justmyluck","just my luck"
"#ftw","ftw"
"#lovinlife","loving life"
"#fishing","fishing"
"#letsgo","let us go"
"#dumb","dumb"
"#ironic","ironic"
"#thegoodlife","the good life"
"#cltweather","clt weather"
"#lonelytweet","lonely tweet"
"#whitegirlproblems","white girl problems"
"#lovemylife","love my life"
"#peace","peace"
"#sunsets","sunsets"
"#graduation","graduation"
"#goodmorning","good morning"
"#whereissummer","where is summer"
"#sohot","so hot"
"#fuckthis","fuck this"
"#ihow","i how"
"#brr","brr"
"#family","family"
"#happytweet","happy tweet"
"#happyhour","happy hour"
"#ohioweather","ohio weather"
"#toocold","too cold"
"#earth","earth"
